Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"MethylScore, a pipeline for accurate and context-aware identification of differentially methylated regions from population-scale plant whole-genome bisulfite sequencing data","MethylScore accurately and context-awarely identifies differentially methylated regions in plant whole-genome bisulfite sequencing data, revealing genotype-epigenotype associations.","Patrick Hüther, Jörg Hagmann, Adam Nunn, I. Kakoulidou, Rahul Pisupati, David Langenberger, D. Weigel, F. Johannes, Sebastian J. Schultheiss, C. Becker",2022,18,"Whole-genome bisulfite sequencing (WGBS) is the standard method for profiling DNA methylation at single-nucleotide resolution. Different tools have been developed to extract differentially methylated regions (DMRs), often built upon assumptions from mammalian data. Here, we present MethylScore, a pipeline to analyse WGBS data and to account for the substantially more complex and variable nature of plant DNA methylation. MethylScore uses an unsupervised machine learning approach to segment the genome by classification into states of high and low methylation. It processes data from genomic alignments to DMR output and is designed to be usable by novice and expert users alike. We show how MethylScore can identify DMRs from hundreds of samples and how its data-driven approach can stratify associated samples without prior information. We identify DMRs in the A. thaliana 1,001 Genomes dataset to unveil known and unknown genotype-epigenotype associations .

© The Author(s) 2022.","other","Quantitative Plant Biology","1","10.1017/qpb.2022.14","https://consensus.app/papers/methylscore-a-pipeline-for-accurate-and-contextaware-hther-hagmann/203dca8554855c15b10b3466cdb498f7/"
"The performance of whole genome bisulfite sequencing on DNBSEQ-Tx platform examined by different library preparation strategies","DNBSEQ-Tx platform can generate high-quality whole-genome bisulfite sequencing data with good stability for large-scale applications, meeting WGBS-required quality controls.","BoyangCao, HuijuanLuo, T. Luo, NannanLi, K. Shao, Kui Wu, Sunil Kumar Sahu, Fuqiang Li, Cong Lin",2023,15,"","non-rct in vitro","Heliyon","1","10.1016/j.heliyon.2023.e16571","https://consensus.app/papers/the-performance-of-whole-genome-bisulfite-sequencing-on-boyangcao-huijuanluo/c476927717a65663a86ae50b1e0c078e/"
"Evaluating the Consistency of Gene Methylation in Liver Cancer Using Bisulfite Sequencing Data","Bisulfite sequencing assays consistently show hypo-methylated genes in liver cancer, with high functional similarity to 450 k beadchip.","Xubin Zheng, Qiong Wu, Haonan Wu, K. Leung, M. Wong, Xueyan Liu, Lixin Cheng",2021,14,"Bisulfite sequencing is considered as the gold standard approach for measuring DNA methylation, which acts as a pivotal part in regulating a variety of biological processes without changes in DNA sequences. In this study, we introduced the most prevalent methods for processing bisulfite sequencing data and evaluated the consistency of the data acquired from different measurements in liver cancer. Firstly, we introduced three commonly used bisulfite sequencing assays, i.e., reduced-representation bisulfite sequencing (RRBS), whole-genome bisulfite sequencing (WGBS), and targeted bisulfite sequencing (targeted BS). Next, we discussed the principles and compared different methods for alignment, quality assessment, methylation level scoring, and differentially methylated region identification. After that, we screened differential methylated genes in liver cancer through the three bisulfite sequencing assays and evaluated the consistency of their results. Ultimately, we compared bisulfite sequencing to 450 k beadchip and assessed the statistical similarity and functional association of differentially methylated genes (DMGs) among the four assays. Our results demonstrated that the DMGs measured by WGBS, RRBS, targeted BS and 450 k beadchip are consistently hypo-methylated in liver cancer with high functional similarity.

Copyright © 2021 Zheng, Wu, Wu, Leung, Wong, Liu and Cheng.","other","Frontiers in Cell and Developmental Biology","1","10.3389/fcell.2021.671302","https://consensus.app/papers/evaluating-the-consistency-of-gene-methylation-in-liver-zheng-wu/bf09a1e67a8b583b9b684a603547a5d2/"
"Guidelines for whole genome bisulphite sequencing of intact and FFPET DNA on the Illumina HiSeq X Ten","This study presents an optimized whole genome bisulphite sequencing (WGBS) methodology on the HiSeq X Ten, enabling 16-20x genome-wide coverage per single lane, enabling large-scale studies at reasonable processing time and cost.","Shalima Nair, Phuc-Loi Luu, Wenjia Qu, Madhavi P. Maddugoda, L. Huschtscha, R. Reddel, G. Chenevix-Trench, Martina Toso, J. Kench, L. Horvath, V. Hayes, P. Stricker, T. Hughes, D. White, J. Rasko, J. Wong, S. Clark",2018,43,"Background: Comprehensive genome-wide DNA methylation profiling is critical to gain insights into epigenetic reprogramming during development and disease processes. Among the different genome-wide DNA methylation technologies, whole genome bisulphite sequencing (WGBS) is considered the gold standard for assaying genome-wide DNA methylation at single base resolution. However, the high sequencing cost to achieve the optimal depth of coverage limits its application in both basic and clinical research. To achieve 15× coverage of the human methylome, using WGBS, requires approximately three lanes of 100-bp-paired-end Illumina HiSeq 2500 sequencing. It is important, therefore, for advances in sequencing technologies to be developed to enable cost-effective high-coverage sequencing.

Results: In this study, we provide an optimised WGBS methodology, from library preparation to sequencing and data processing, to enable 16-20× genome-wide coverage per single lane of HiSeq X Ten, HCS 3.3.76. To process and analyse the data, we developed a WGBS pipeline (METH10X) that is fast and can call SNPs. We performed WGBS on both high-quality intact DNA and degraded DNA from formalin-fixed paraffin-embedded tissue. First, we compared different library preparation methods on the HiSeq 2500 platform to identify the best method for sequencing on the HiSeq X Ten. Second, we optimised the PhiX and genome spike-ins to achieve higher quality and coverage of WGBS data on the HiSeq X Ten. Third, we performed integrated whole genome sequencing (WGS) and WGBS of the same DNA sample in a single lane of HiSeq X Ten to improve data output. Finally, we compared methylation data from the HiSeq 2500 and HiSeq X Ten and found high concordance (Pearson r > 0.9×).

Conclusions: Together we provide a systematic, efficient and complete approach to perform and analyse WGBS on the HiSeq X Ten. Our protocol allows for large-scale WGBS studies at reasonable processing time and cost on the HiSeq X Ten platform.","other","Epigenetics & Chromatin","1","10.1186/s13072-018-0194-0","https://consensus.app/papers/guidelines-for-whole-genome-bisulphite-sequencing-of-nair-luu/521e6c32e2735fedaceee2b1d1565b21/"
"Systematic evaluation of library preparation methods and sequencing platforms for high-throughput whole genome bisulfite sequencing","Swift Biosciences Accel-NGS is the most efficient whole genome bisulfite sequencing method for large-scale epidemiological studies, with a minimum coverage of 100x recommended for precision comparable to methylation arrays.","Li Zhou, H. Ng, Daniela I. Drautz-Moses, S. Schuster, S. Beck, Changhoon Kim, J. Chambers, Marie Loh",2019,76,"Whole genome bisulfite sequencing (WGBS), with its ability to interrogate methylation status at single CpG site resolution epigenome-wide, is a powerful technique for use in molecular experiments. Here, we aim to advance strategies for accurate and efficient WGBS for application in future large-scale epidemiological studies. We systematically compared the performance of three WGBS library preparation methods with low DNA input requirement (Swift Biosciences Accel-NGS, Illumina TruSeq and QIAGEN QIAseq) on two state-of-the-art sequencing platforms (Illumina NovaSeq and HiSeq X), and also assessed concordance between data generated by WGBS and methylation arrays. Swift achieved the highest proportion of CpG sites assayed and effective coverage at 26x (P < 0.001). TruSeq suffered from the highest proportion of PCR duplicates, while QIAseq failed to deliver across all quality metrics. There was little difference in performance between NovaSeq and HiSeq X, with the exception of higher read duplication rate on the NovaSeq (P < 0.05), likely attributable to the higher cluster densities on its flow cells. Systematic biases exist between WGBS and methylation arrays, with lower precision observed for WGBS across the range of depths investigated. To achieve a level of precision broadly comparable to the methylation array, a minimum coverage of 100x is recommended.","other","Scientific Reports","1","10.1038/s41598-019-46875-5","https://consensus.app/papers/systematic-evaluation-of-library-preparation-methods-and-zhou-ng/5b9aea468bfe584aaa1b7a977dd86fb1/"
"Variable performance of widely used bisulfite sequencing methods and read mapping software for DNA methylation","Popular bisulfite sequencing methods and read mapping software for DNA methylation can produce different results in genetically variable populations, with paired end sequencing on RRBS libraries recommended for filtering biasing SNPs.","Emily V. Kerns, Jesse N. Weber",2025,0,"DNA methylation (DNAm) is the most commonly studied marker in ecological epigenetics, yet the performance of popular library preparation strategies and bioinformatic tools is seldom assessed in genetically variable natural populations. We profiled DNAm using reduced representation bisulfite sequencing (RRBS) and whole genome bisulfite sequencing (WGBS) of technical and biological replicates from threespine stickleback (Gasterosteus aculeatus) liver tissue. We then compared how the most commonly used methylation caller (Bismark) performed relative to two alternative pipelines (BWA mem or BWA meth read mappers analyzed with MethylDackel). BWA meth provided 50% and 45% higher mapping efficiency than BWA mem and Bismark, respectively. Despite differences in mapping efficiency, BWA meth and Bismark produced similar methylation profiles, while BWA mem systematically discarded unmethylated cytosines. Depth filters had large impacts on CpG sites recovered across multiple individuals, particularly with WGBS data. Notably, the prevalence of CpG sites with intermediate methylation levels is greatly reduced in RRBS, which may have important consequences for functional interpretations. We conclude by discussing how library construction and bisulfite sequence alignment software can influence the abundance and reliability of data available for downstream analysis. Our analyses suggest that researchers studying genetically variable populations will benefit from deeply sequencing a few initial individuals to identify the amount of genomic coverage necessary for mean methylation estimates to plateau, a value that may differ by species and population. We additionally advocate for paired end sequencing on RRBS libraries to filter SNPs that may bias methylation metrics, which is counter to conventional wisdom.","other","bioRxiv","","10.1101/2025.03.14.643302","https://consensus.app/papers/variable-performance-of-widely-used-bisulfite-sequencing-kerns-weber/611618acce3150259b2826d417ee7860/"
"BS-Seeker3: ultrafast pipeline for bisulfite sequencing","BS-Seeker3 is an ultrafast pipeline for bisulfite sequencing, achieving high accuracy and mappability, and enabling better visualization of DNA methylation data.","K. Huang, Yan-Jiun Huang, Pao-Yang Chen",2018,37,"Background: DNA methylation is an important epigenetic modification critical in regulation and transgenerational inheritance. The methylation level can be estimated at single-nucleotide resolution by whole-genome bisulfite sequencing (BS-seq; WGBS). Current bisulfite aligners provide pipelines for processing the reads by WGBS; however, few are able to analyze the BS-seqs in a reasonable timeframe that meets the needs of the rapid expansion of epigenome sequencing in biomedical research.

Results: We introduce BS-Seeker3, an extensively improved and optimized implementation of BS-Seeker2 that leverages the available computational power of a standard bioinformatics lab. BS-Seeker3 adopts all alignment features of BS-Seeker2. It performs ultrafast alignments and achieves both high accuracy and high mappability, more than twice that of the other aligners that we evaluated. Moreover, BS Seeker 3 is well linked with downstream analyzer MethGo for up to 9 types of genomic and epigenomic analyses.

Conclusions: BS-Seeker3 is an accurate, versatile, ultra-fast pipeline for processing bisulfite-converted reads. It also helps the user better visualize the methylation data.","other","BMC Bioinformatics","1","10.1186/s12859-018-2120-7","https://consensus.app/papers/bsseeker3-ultrafast-pipeline-for-bisulfite-sequencing-huang-huang/0fbd2d96703b55e9885dc49133fb2428/"
"Saturation analysis for whole-genome bisulfite sequencing data","Current reference methylome coverage (30) results in 50% loss of DMPs and is limited for high-resolution feature analysis, making it less useful for analyzing complex methylation patterns.","Emanuele Libertini, S. Heath, R. Hamoudi, M. Gut, Michael J. Ziller, Javier Herrero, A. Czyz, Victor Ruotti, H. Stunnenberg, M. Frontini, W. Ouwehand, A. Meissner, I. Gut, S. Beck",2016,37,"To the Editor: Whole-genome bisulfite sequencing (WGBS) has become an integral part of basic and clinical research and has been widely used to generate reference methylomes since 2010 (refs. 1,2). However, because of the initial high cost of a 30× WGBS methylome3, no saturation analysis has been performed to assess the information that can be harnessed from individual methylome features at different sequencing coverage. Consequently, the International Human Epigenome Consortium (IHEC; http://ihec-epigenomes. org/research/reference-epigenomestandards/) decided to sequence reference methylomes to 30× coverage, which was believed to adequately capture the majority of the methylation signal for subsequent analyses. Here, we report the first saturation analysis for WGBS. We assessed the effect of coverage on the identification of five features that reveal key aspects of the methylome, including informative CpG sites (iCGs), differentially methylated positions (DMPs), differentially methylated regions (DMRs), blocks of comethylation (COMETs) and differentially methylated COMETs (DMCs). We carried out a downsampling analysis by sequentially removing random WGBS reads—thereby reducing coverage—to assess the loss of information for each of the above features related to coverage, resolution and complexity. Individual CpG methylation states, defined by iCGs, and methylation changes, defined by DMPs, exhibited the highest (single base) level of resolution and lowest level of complexity. In contrast, COMETs and DMCs had the lowest resolution and highest levels of feature complexity, whereas DMRs had medium resolution and complexity. On the basis of this analysis, we show that the current reference methylome coverage (30×) results in ~50% loss of DMPs and is therefore only of limited use for high-resolution feature analysis (e.g., DMPs). We analyzed 13 WGBS methylomes (M1–13), which are summarized in Supplementary Table 1 and Supplementary Methods4. Except for M13, all methylomes were generated by the Roadmap Epigenomics5 (http:// www.roadmapepigenomics.org/) and BLUEPRINT6 (http://www.blueprintepigenome.eu/) projects. The same methylomes were also used in a parallel study4 describing the COMET, DMC and information recovery analyses. To our knowledge, M1–3 are the deepest methylomes reported to date and thus constitute particularly valuable references for future studies. Downsampling is the method of choice for saturation analysis and assessing coverage-dependent information loss. It requires a static reference methylome against which to downsample a deepcoverage test methylome. Better results are obtained if both methylomes are available in multiple replicates as described below. For the static reference, we evaluated two preIHEC (i.e., created before the consortium and its guidelines were established) (M4 (ref. 7), M13 (ref. 8) and four IHEC (M7– 10) methylomes (Fig. 1) and selected the superior IHEC replicates M7–10 (derived from human embryonic stem cells and generated by the Roadmap Epigenomics Project) against which to downsample deepcoverage test replicates M1–2 (derived from purified human monocytes and generated by the BLUEPRINT Project). For each of the five features described above, the test methylomes (M1–2) were randomly downsampled to different read-coverage levels and assessed for information loss by comparison to the static reference methylomes (M7–10). For the analysis of iCGs, DMPs and DMRs, we used BSmooth9 and RADmeth10, and we used COMETgazer4 and COMETvintage4 for the analysis of COMETs and DMCs (https:// github.com/rifathamoudi/COMETgazer). Figure 2a shows the saturation analysis of iCGs, DMPs, DMRs, COMETs and DMCs for M1–2 by downsampling from 83× or 91× to 5× sequence coverage. For each coverage and feature, the respective percentages of retained information are plotted on the y axis. The total number of M1–2 features","other","Nature Biotechnology","1","10.1038/nbt.3524","https://consensus.app/papers/saturation-analysis-for-wholegenome-bisulfite-libertini-heath/6ed90a2ad3775271b8ff45f65df81bce/"
"MethylStar: A fast and robust pre-processing pipeline for bulk or single-cell whole-genome bisulfite sequencing data","MethylStar is a fast, stable, and flexible pre-processing pipeline for whole-genome bisulfite sequencing data, offering a user-friendly interface and efficient analysis for large datasets.","Yadollah Shahryary, R. Hazarika, F. Johannes",2019,28,"Background: Whole-Genome Bisulfite Sequencing (WGBS) is a Next Generation Sequencing (NGS) technique for measuring DNA methylation at base resolution. Continuing drops in sequencing costs are beginning to enable high-throughput surveys of DNA methylation in large samples of individuals and/or single cells. These surveys can easily generate hundreds or even thousands of WGBS datasets in a single study. The efficient pre-processing of these large amounts of data poses major computational challenges and creates unnecessary bottlenecks for downstream analysis and biological interpretation.

Results: To offer an efficient analysis solution, we present MethylStar, a fast, stable and flexible pre-processing pipeline for WGBS data. MethylStar integrates well-established tools for read trimming, alignment and methylation state calling in a highly parallelized environment, manages computational resources and performs automatic error detection. MethylStar offers easy installation through a dockerized container with all preloaded dependencies and also features a user-friendly interface designed for experts/non-experts. Application of MethylStar to WGBS from Human, Maize and A. thaliana shows favorable performance in terms of speed and memory requirements compared with existing pipelines.

Conclusions: MethylStar is a fast, stable and flexible pipeline for high-throughput pre-processing of bulk or single-cell WGBS data. Its easy installation and user-friendly interface should make it a useful resource for the wider epigenomics community. MethylStar is distributed under GPL-3.0 license and source code is publicly available for download from github https://github.com/jlab-code/MethylStar . Installation through a docker image is available from http://jlabdata.org/methylstar.tar.gz.","other","BMC Genomics","1","10.1186/s12864-020-06886-3","https://consensus.app/papers/methylstar-a-fast-and-robust-preprocessing-pipeline-for-shahryary-hazarika/b0485e616fe35d9aaee53af3999b69f0/"
"Detection of differentially methylated regions in whole genome bisulfite sequencing data using local Getis-Ord statistics","GetisDMR software effectively detects differentially methylated regions in whole-genome bisulfite sequencing data, providing better sensitivities, positive predictive values, and more exact locations.","Yalu Wen, Fushun Chen, Qingzheng Zhang, Zhuang Yan, Zhiguang Li",2016,23,"Motivation: DNA methylation is an important epigenetic modification that has essential role in gene regulation, cell differentiation and cancer development. Bisulfite sequencing is a widely used technique to obtain genome-wide DNA methylation profiles, and one of the key tasks of analyzing bisulfite sequencing data is to detect differentially methylated regions (DMRs) among samples under different treatment conditions. Although numerous tools have been proposed to detect differentially methylated single CpG site (DMC) between samples, methods for direct DMR detection, especially for complex study designs, are largely limited.

Results: We present a new software, GetisDMR, for direct DMR detection. We use beta-binomial regression to model the whole-genome bisulfite sequencing data, where variations in methylation levels and confounding effects have been accounted for. We employ a region-wise test statistic, which is derived from local Getis-Ord statistics and considers the spatial correlation between nearby CpG sites, to detect DMRs. Unlike existing methods, that attempt to infer DMRs from DMCs based on empirical criteria, we provide statistical inference for direct DMR detection. Through extensive simulations and an application to two mouse datasets, we demonstrate that GetisDMR achieves better sensitivities, positive predictive values, more exact locations and better agreement of DMRs with current biological knowledge.

Availability and implementation: It is available at https://github.com/DMU-lilab/GetisDMR CONTACTS: y.wen@auckland.ac.nz or zhiguangli@dlmedu.edu.cnSupplementary information: Supplementary data are available at Bioinformatics online.

© The Author 2016. Published by Oxford University Press. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com.","","Bioinformatics","","10.1093/bioinformatics/btw497","https://consensus.app/papers/detection-of-differentially-methylated-regions-in-whole-wen-chen/209e8e91965d5466bba731573c382bc9/"
"msPIPE: a pipeline for the analysis and visualization of whole-genome bisulfite sequencing data","msPIPE is a new end-to-end pipeline for DNA methylation analysis using whole-genome bisulfite sequencing data, enabling easy and convenient processing and analysis of WGBS data.","Heesun Kim, Mikang Sim, Nayoung Park, Kisang Kwon, Junyoung Kim, Jaebum Kim",2022,11,"Background: DNA methylation is an important epigenetic modification that is known to regulate gene expression. Whole-genome bisulfite sequencing (WGBS) is a powerful method for studying cytosine methylation in a whole genome. However, it is difficult to obtain methylation profiles using the WGBS raw reads and is necessary to be proficient in all types of bioinformatic tools for the study of DNA methylation. In addition, recent end-to-end pipelines for DNA methylation analyses are not sufficient for addressing those difficulties.

Results: Here we present msPIPE, a pipeline for DNA methylation analyses with WGBS data seamlessly connecting all the required tasks ranging from data pre-processing to multiple downstream DNA methylation analyses. The msPIPE can generate various methylation profiles to analyze methylation patterns in the given sample, including statistical summaries and methylation levels. Also, the methylation levels in the functional regions of a genome are computed with proper annotation. The results of methylation profiles, hypomethylation, and differential methylation analysis are plotted in publication-quality figures. The msPIPE can be easily and conveniently used with a Docker image, which includes all dependent packages and software related to DNA methylation analyses.

Conclusion: msPIPE is a new end-to-end pipeline designed for methylation calling, profiling, and various types of downstream DNA methylation analyses, leading to the creation of publication-quality figures. msPIPE allows researchers to process and analyze the WGBS data in an easy and convenient way. It is available at https://github.com/jkimlab/msPIPE and https://hub.docker.com/r/jkimlab/mspipe .

© 2022. The Author(s).","other","BMC Bioinformatics","1","10.1186/s12859-022-04925-2","https://consensus.app/papers/mspipe-a-pipeline-for-the-analysis-and-visualization-of-kim-sim/79b3fbe8e38650d5830dc2dfc50cf721/"
"De novo identification of differentially methylated regions in the human genome","DMRcate is a novel method for identifying and ranking differentially methylated regions in the human genome, with superior predictive performance compared to Bumphunter and Probe Lasso.","Timothy J. Peters, M. Buckley, A. Statham, R. Pidsley, K. Samaras, Reginald V Lord, S. Clark, P. Molloy",2015,807,"Background: The identification and characterisation of differentially methylated regions (DMRs) between phenotypes in the human genome is of prime interest in epigenetics. We present a novel method, DMRcate, that fits replicated methylation measurements from the Illumina HM450K BeadChip (or 450K array) spatially across the genome using a Gaussian kernel. DMRcate identifies and ranks the most differentially methylated regions across the genome based on tunable kernel smoothing of the differential methylation (DM) signal. The method is agnostic to both genomic annotation and local change in the direction of the DM signal, removes the bias incurred from irregularly spaced methylation sites, and assigns significance to each DMR called via comparison to a null model.

Results: We show that, for both simulated and real data, the predictive performance of DMRcate is superior to those of Bumphunter and Probe Lasso, and commensurate with that of comb-p. For the real data, we validate all array-derived DMRs from the candidate methods on a suite of DMRs derived from whole-genome bisulfite sequencing called from the same DNA samples, using two separate phenotype comparisons.

Conclusions: The agglomeration of genomically localised individual methylation sites into discrete DMRs is currently best served by a combination of DM-signal smoothing and subsequent threshold specification. The findings also suggest the design of the 450K array shows preference for CpG sites that are more likely to be differentially methylated, but its overall coverage does not adequately reflect the depth and complexity of methylation signatures afforded by sequencing. For the convenience of the research community we have created a user-friendly R software package called DMRcate, downloadable from Bioconductor and compatible with existing preprocessing packages, which allows others to apply the same DMR-finding method on 450K array data.","","Epigenetics & Chromatin","1","10.1186/1756-8935-8-6","https://consensus.app/papers/de-novo-identification-of-differentially-methylated-peters-buckley/b5b49561cb9d58ec85da0c78f26c4bb2/"
"wg-blimp: an end-to-end analysis pipeline for whole genome bisulfite sequencing data","Wg-blimp is a comprehensive analysis pipeline for whole genome bisulfite sequencing data, providing a more comprehensive workflow and interactive user interface for facilitating future epigenetic research.","M. Wöste, E. Leitão, S. Laurentino, B. Horsthemke, S. Rahmann, Christopher Schröder",2019,16,"Background: Analysing whole genome bisulfite sequencing datasets is a data-intensive task that requires comprehensive and reproducible workflows to generate valid results. While many algorithms have been developed for tasks such as alignment, comprehensive end-to-end pipelines are still sparse. Furthermore, previous pipelines lack features or show technical deficiencies, thus impeding analyses.

Results: We developed wg-blimp (whole genome bisulfite sequencing methylation analysis pipeline) as an end-to-end pipeline to ease whole genome bisulfite sequencing data analysis. It integrates established algorithms for alignment, quality control, methylation calling, detection of differentially methylated regions, and methylome segmentation, requiring only a reference genome and raw sequencing data as input. Comparing wg-blimp to previous end-to-end pipelines reveals similar setups for common sequence processing tasks, but shows differences for post-alignment analyses. We improve on previous pipelines by providing a more comprehensive analysis workflow as well as an interactive user interface. To demonstrate wg-blimp's ability to produce correct results we used it to call differentially methylated regions for two publicly available datasets. We were able to replicate 112 of 114 previously published regions, and found results to be consistent with previous findings. We further applied wg-blimp to a publicly available sample of embryonic stem cells to showcase methylome segmentation. As expected, unmethylated regions were in close proximity of transcription start sites. Segmentation results were consistent with previous analyses, despite different reference genomes and sequencing techniques.

Conclusions: wg-blimp provides a comprehensive analysis pipeline for whole genome bisulfite sequencing data as well as a user interface for simplified result inspection. We demonstrated its applicability by analysing multiple publicly available datasets. Thus, wg-blimp is a relevant alternative to previous analysis pipelines and may facilitate future epigenetic research.","other","BMC Bioinformatics","1","10.1186/s12859-020-3470-5","https://consensus.app/papers/wgblimp-an-endtoend-analysis-pipeline-for-whole-genome-wste-leito/463d3595635e524cb24b0451390fc3cd/"
"A hidden markov model for identifying differentially methylated sites in bisulfite sequencing data","The DMCHMM method effectively identifies differentially methylated CpG sites in bisulfite sequencing data, overcoming limitations and providing flexible analysis of multiple groups and covariates.","Farhad Shokoohi, D. Stephens, G. Bourque, T. Pastinen, C. Greenwood, A. Labbe",2018,18,"DNA methylation studies have enabled researchers to understand methylation patterns and their regulatory roles in biological processes and disease. However, only a limited number of statistical approaches have been developed to provide formal quantitative analysis. Specifically, a few available methods do identify differentially methylated CpG (DMC) sites or regions (DMR), but they suffer from limitations that arise mostly due to challenges inherent in bisulfite sequencing data. These challenges include: (1) that read-depths vary considerably among genomic positions and are often low; (2) both methylation and autocorrelation patterns change as regions change; and (3) CpG sites are distributed unevenly. Furthermore, there are several methodological limitations: almost none of these tools is capable of comparing multiple groups and/or working with missing values, and only a few allow continuous or multiple covariates. The last of these is of great interest among researchers, as the goal is often to find which regions of the genome are associated with several exposures and traits. To tackle these issues, we have developed an efficient DMC identification method based on Hidden Markov Models (HMMs) called ""DMCHMM"" which is a three-step approach (model selection, prediction, testing) aiming to address the aforementioned drawbacks. Our proposed method is different from other HMM methods since it profiles methylation of each sample separately, hence exploiting inter-CpG autocorrelation within samples, and it is more flexible than previous approaches by allowing multiple hidden states. Using simulations, we show that DMCHMM has the best performance among several competing methods. An analysis of cell-separated blood methylation profiles is also provided.

© 2018, The International Biometric Society.","theoretical, modeling, or simulation study","Biometrics","1","10.1111/biom.12965","https://consensus.app/papers/a-hidden-markov-model-for-identifying-differentially-shokoohi-stephens/7da84fdecca45186b6fb083f406619dd/"
"BCREval: a computational method to estimate the bisulfite conversion ratio in WGBS","BCREval is a fast and efficient method for estimating bisulfite conversion ratio in whole genome bisulfite sequencing (WGBS), improving quality control and data analysis.","Junhua Zhou, Minqiong Zhao, Zefang Sun, Feilong Wu, Yucong Liu, Xianghua Liu, Zuping He, Quanze He, Q. He",2020,11,"Background: Whole genome bisulfite sequencing (WGBS) also known as BS-seq has been widely used to measure the methylation of whole genome at single-base resolution. One of the key steps in the assay is converting unmethylated cytosines into thymines (BS conversion). Incomplete conversion of unmethylated cytosines can introduce false positive methylation call. Developing a quick method to evaluate bisulfite conversion ratio (BCR) is benefit for both quality control and data analysis of WGBS.

Results: Here we provide a computational method named ""BCREval"" to estimate the unconverted rate (UCR) by using telomeric repetitive DNA as native spike-in control. We tested the method by using public WGBS data and found that it is very stable and most of BS conversion assays can achieve> 99.5% efficiency. The non-CpG DNA methylation at telomere fits a binomial model and may result from a random process with very low possibility (the ratio < 0.4%). And the comparison between BCREval and Bismark (Krueger and Andrews, Bioinformatics 27:1571-1572, 2011), a widely used BCR evaluator, suggests that our algorithm is much faster and more efficient than the latter.

Conclusion: Our method is a simple but robust method to QC and speculates BCR for WGBS experiments to make sure it achieves acceptable level. It is faster and more efficient than current tools and can be easily integrated into presented WGBS pipelines.","","BMC Bioinformatics","1","10.1186/s12859-019-3334-z","https://consensus.app/papers/bcreval-a-computational-method-to-estimate-the-bisulfite-zhou-zhao/43570bc3bae356d28695fc283bd20e11/"
"Methodological aspects of whole-genome bisulfite sequencing analysis","Bisulfite sequencing analysis enables genome-wide DNA methylation studies, but requires specialized computational tools and statistical methods for efficient data processing and interpretation.","Swarnaseetha Adusumalli, Mohd Feroz Mohd Omar, R. Soong, T. Benoukraf",2015,80,"The combination of DNA bisulfite treatment with high-throughput sequencing technologies has enabled investigation of genome-wide DNA methylation beyond CpG sites and CpG islands. These technologies have opened new avenues to understand the interplay between epigenetic events, chromatin plasticity and gene regulation. However, the processing, managing and mining of this huge volume of data require specialized computational tools and statistical methods that are yet to be standardized. Here, we describe a complete bisulfite sequencing analysis workflow, including recently developed programs, highlighting each of the crucial analysis steps required, i.e. sequencing quality control, reads alignment, methylation scoring, methylation heterogeneity assessment, genomic features annotation, data visualization and determination of differentially methylated cytosines. Moreover, we discuss the limitations of these technologies and considerations to perform suitable analyses.

© The Author 2014. Published by Oxford University Press. For Permissions, please email: journals.permissions@oup.com.","other","Briefings in bioinformatics","1","10.1093/bib/bbu016","https://consensus.app/papers/methodological-aspects-of-wholegenome-bisulfite-adusumalli-omar/954fd969ecd95e7c855172ac96b9c96c/"
